molecule_id,reason
fragment_288,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 13"
fragment_289,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_293,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_301,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_304,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_306,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 13 14 15 16 17"
fragment_307,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_308,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_309,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_311,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 10"
fragment_312,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_313,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 11"
fragment_314,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 19"
fragment_315,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_316,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 13"
fragment_317,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 14"
fragment_318,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 15"
fragment_319,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_320,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11 12 13 14 15"
fragment_322,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_324,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_326,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_328,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11 12 13 14 15"
fragment_331,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_333,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11 12 13"
fragment_334,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_335,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_336,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 4 10 11 12 13 14 15"
fragment_347,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 9 10 11 12"
fragment_350,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_351,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 16"
fragment_353,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_354,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 10 11 12 13 14"
fragment_357,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11 12 13 14 15"
fragment_362,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 12 13 14 15"
fragment_365,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 10"
fragment_368,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_370,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_371,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 10"
fragment_372,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_376,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_377,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_379,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 14"
fragment_383,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_384,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 9 10"
fragment_385,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_386,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_388,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_389,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 7 12 13 14 15"
fragment_390,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_391,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 8"
fragment_393,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_395,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 5 11 12 13"
fragment_396,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_398,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12 13 14 15 16"
fragment_399,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 19"
fragment_400,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12"
fragment_402,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 11"
fragment_404,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_406,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 10"
fragment_407,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 9 13 14 15"
fragment_408,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_409,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_410,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_413,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 12 13"
fragment_414,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8 9 10 11 12"
fragment_416,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 12 13"
fragment_418,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 12"
fragment_420,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 9"
fragment_421,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11 12 13 14 15"
fragment_422,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 14"
fragment_423,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 10 11 12 13 14"
fragment_424,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 11"
fragment_425,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11 14 15 16 17 18 19"
fragment_426,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_427,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 16"
fragment_428,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_433,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_434,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 9 10"
fragment_435,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 9"
fragment_436,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 15"
fragment_439,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_440,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_441,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 11"
fragment_444,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 8 9 17 18"
fragment_447,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 12"
fragment_448,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 9"
fragment_449,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10 11 12 13 14"
fragment_452,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8 9 10 11 12"
fragment_455,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 12 13"
fragment_456,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 11 12 13 14 15 16"
fragment_459,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_460,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11 12 13 14 15"
fragment_461,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_462,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 10"
fragment_463,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 10 11 12 13 14 15"
fragment_464,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 6 7 8 11 12 13 14"
fragment_465,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 9 10 14 15"
fragment_467,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 11 12"
fragment_468,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_470,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 13"
fragment_471,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 10"
fragment_474,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_477,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 11"
fragment_478,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 12"
fragment_483,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 13"
fragment_485,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 7 8 13 14 15 16 17 18"
fragment_487,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 15"
fragment_488,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 12"
fragment_489,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11"
fragment_490,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 9"
fragment_491,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 7 8 13"
fragment_493,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 4 5 10 11"
fragment_494,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 5 6 9"
fragment_495,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 6 9"
fragment_496,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 8"
fragment_499,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 10"
fragment_500,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 4 5 6 10 11 12 13"
testcase-101,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-1055,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 6 8"
testcase-106,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 5 6 8 9 10"
testcase-1074,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7"
testcase-1085,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 11 12"
testcase-1089,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-1090,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 8 9 10 11 12 13 14"
testcase-1091,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 4"
testcase-1094,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 10"
testcase-1107,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8"
testcase-1113,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 9 10"
testcase-112,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 10"
testcase-1130,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 8"
testcase-1135,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 4 5 6 15 16"
testcase-1170,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7"
testcase-1171,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-1182,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 4"
testcase-1184,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8"
testcase-1185,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 9 10"
testcase-1186,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-122,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 10"
testcase-1220,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 8 9 10 11"
testcase-1221,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6 7 8 9 10"
testcase-1222,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 6 7 8 9"
testcase-1223,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 4 5 6 7 9"
testcase-1232,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 5 6 7"
testcase-1234,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 6"
testcase-1249,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 6"
testcase-1263,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 5 6 7 8 9 10 11"
testcase-1269,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8 9 10 11 12"
testcase-1270,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 4 5 6 7 8 9"
testcase-1273,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-1274,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 9 10"
testcase-1283,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 5"
testcase-1284,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 5"
testcase-1285,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8 9 10 11 12"
testcase-1296,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8"
testcase-1297,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 4 5 6 7 8"
testcase-1298,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 5"
testcase-1301,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 3 7"
testcase-1317,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7 8 9 10 11"
testcase-1318,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6 7 8 9 10"
testcase-1328,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 7 8 9 10 11"
testcase-1332,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 6 7 8"
testcase-1335,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 5"
testcase-1336,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 1 2 3 4 5"
testcase-1350,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 6 7 8 9 10"
testcase-1389,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 2 3 4 5 6"
testcase-1390,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 0 1 2 6 7"
testcase-1394,"KekulizeException: Can't kekulize mol.  Unkekulized atoms: 3 4 5 6 7"
